Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2020,24000,19124.2758362509,68716.1394491781,58993.2865403391,5416.23037213944,16174.2068103128,27884.2729770442,"$24,000","$26,000","$24,000-$26,000"
2020,26000,22812.7354580534,70812.0657124079,48304.204112964,4897.56758778454,15816.3041376192,15429.2962337027,"$26,000","$28,000","$26,000-$28,000"
2020,28000,27896.468693375,94774.2311194164,30021.1049395418,3431.87155884762,20668.7330923454,7893.2178326486,"$28,000","$30,000","$28,000-$30,000"
2020,30000,25524.959408118,90639.783698563,25187.2670534279,4430.77096614851,17161.3289692451,6430.28880964794,"$30,000","$32,000","$30,000-$32,000"
2020,32000,31789.4231482299,91640.638901466,19355.9257439251,6000.70830366119,11097.1878708099,5736.5378582093,"$32,000","$34,000","$32,000-$34,000"
2020,34000,36803.699948424,104235.651931063,16345.388925576,4098.72815631481,7738.97816667173,3799.27196980732,"$34,000","$36,000","$34,000-$36,000"
2020,36000,33150.2391678262,90970.7963294778,24238.7759800038,3644.80036235707,5993.82826161504,3500.54426425882,"$36,000","$38,000","$36,000-$38,000"
2020,38000,34272.6374627987,82855.883752994,20199.7745507623,4387.3980338181,8417.38761467114,4148.80695509058,"$38,000","$40,000","$38,000-$40,000"
2020,40000,33158.8067468091,93496.3421891052,17147.9522170714,4857.199452981,7297.32295671859,2044.19484344489,"$40,000","$42,000","$40,000-$42,000"
2020,42000,26618.39341084,109301.489846341,16517.3684426791,5978.60350822227,2851.1716229431,2070.11913005478,"$42,000","$44,000","$42,000-$44,000"
2020,44000,30703.7979661009,88364.6194997879,20400.625895575,6988.07481313261,3695.3388339745,2136.69229657267,"$44,000","$46,000","$44,000-$46,000"
2020,46000,36247.649777959,88995.0957731193,15491.341880567,6662.90788362354,4875.87120156665,2811.65462733351,"$46,000","$48,000","$46,000-$48,000"
2020,48000,36511.4485275389,81066.7203522017,22281.2414284482,5959.41244278704,2371.80726878069,3341.60028172136,"$48,000","$50,000","$48,000-$50,000"
2020,50000,40028.5261287747,83812.1169774544,14714.650190214,6273.91636480673,1426.45453325092,2567.17216999695,"$50,000","$52,000","$50,000-$52,000"
2020,52000,42113.2768298065,73858.5332911043,14443.4616925843,6053.29231958714,1267.59399848734,2712.15125252219,"$52,000","$54,000","$52,000-$54,000"
2020,54000,33044.1502249127,55502.831355226,12424.4627976276,4377.00898220181,974.963516320015,2148.52534630979,"$54,000","$56,000","$54,000-$56,000"
2020,56000,32433.5539458511,52454.6401884945,12787.9718112613,4124.96550957867,974.963516320015,2176.40337623609,"$56,000","$58,000","$56,000-$58,000"
